canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
Any difference between the Maximum Allowable Cost and BCBSM’s approved amount for a covered brand-name drug,66,14,2,ppo_medical,Prescription Drugs
Drugs obtained from an out-of-network mail order provider.,65,14,2,ppo_medical,Prescription Drugs
Individual psychotherapeutic treatment,64,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Family counseling,64,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Group psychotherapeutic treatment,64,14,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Consultations required by a facility’s or program’s rules,52,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Marital counseling,52,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Prescribed drugs given by the hospital or facility during the member’s treatment,52,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Ancillary services,50,14,"2,3",ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Amounts that exceed our approved amount for covered drugs or out-of-network retail penalty amounts.,43,14,2,ppo_medical,Prescription Drugs
Therapy billed as a rehabilitative service when it does not meet the definition of rehabilitative service in this certificate,42,14,2,ppo_medical,Occupational Therapy | Physical Therapy | Speech Language Therapy
"Services provided by a freestanding facility in a home, hospital, skilled nursing facility, or residential substance abuse treatment facility",42,14,2,ppo_medical,Occupational Therapy | Physical Therapy | Speech Language Therapy
Member education and home programs,42,14,2,ppo_medical,Occupational Therapy | Physical Therapy | Speech Language Therapy
Infusion of colony stimulating growth factors,39,13,2,ppo_medical,Oncology Clinical Trials | Transplant Services
High-dose chemotherapy and/or total body irradiation,38,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Hospitalization,38,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Allogeneic Transplants,38,14,"2,3",ppo_medical,Oncology Clinical Trials | Transplant Services
Services provided by the hospital’s or facility’s staff,37,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Speech language therapy,36,14,"1,2",ppo_medical,Autism Spectrum Disorders | Home Health Care Services
Autologous Transplants,33,14,"2,3",ppo_medical,Oncology Clinical Trials | Transplant Services
Payment for noncovered drugs or services,33,13,2,ppo_medical,Prescription Drugs
Temporomandibular surgery,31,16,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Infertility testing and treatment,31,16,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Contraceptive Services,31,14,"1,2,3",ppo_medical,Collaborative Care Management | Preventive Care Services
Bariatric surgery,30,16,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements | Surgery
Services that require less than intensive monitoring or supervision because the member ’s endurance while exercising and management of risk factors are stable,28,14,2,ppo_medical,Cardiac Rehabilitation | Pulmonary Rehabilitation
"Items that are not considered by BCBSM to be directly related to travel and lodging. Examples include, but are not limited to",28,14,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Allergy Testing and Therapy,27,14,"1,3",ppo_medical,Allergy Testing and Therapy | BCBSM PPO Out-of-Network Providers
Services given when intensive monitoring and/or supervision during exercise is required.,27,14,2,ppo_medical,Cardiac Rehabilitation | Pulmonary Rehabilitation
Chronic Disease Management,27,14,"1,3",ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
"More than the combined 30 habilitative and the combined 30 rehabilitative outpatient visits for physical and occupational therapy per member per calendar year, (see above about combined benefit) whether obtained from an in-network or out-of-network provider",27,14,2,ppo_medical,Occupational Therapy | Physical Therapy
Services received from a nonparticipating hospital or nonparticipating facility,27,14,2,ppo_medical,Occupational Therapy | Physical Therapy
Therapy billed as an habilitative service when it does not meet the definition of habilitative service in this certificate,27,14,2,ppo_medical,Physical Therapy | Speech Language Therapy
Acute Care,27,14,"2,3",ppo_medical,Skilled Nursing Facility Services
Treatment or supplies that do not meet BCBSM requirements,26,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by the facility's staff,26,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Prescribed drugs given by the facility in connection with treatment,26,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided in a skilled nursing facility or through a residential or outpatient substance abuse treatment program,26,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by a nonparticipating outpatient psychiatric care facility,26,13,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
Certified Nurse Practitioner,26,14,"2,3",ppo_medical,Chronic Disease Management
Clinical Nurse Specialist-Certified,26,14,"2,3",ppo_medical,Chronic Disease Management
Athletic Trainer,26,14,"2,3",ppo_medical,Chronic Disease Management
Approved clinical trial,26,14,"2,3",ppo_medical,Clinical Trials (Routine Patient Costs)
Medically necessary to treat severe deficits in members who have certain conditions that are identified by BCBSM,26,13,2,ppo_medical,Occupational Therapy | Physical Therapy
The drug Interactions,25,13,2,ppo_medical,Collaborative Care Management | Value Based Programs
Routine care during the newborn’s eligible hospital stay.,25,14,2,ppo_medical,Maternity Care | Newborn Care
Nuclear cardiac studies,24,13,2,ppo_medical,Diagnostic Services | Radiology Services
Contraceptive Counseling,24,13,"2,3",ppo_medical,Preventive Care Services
Ambulance Services,23,14,"1,3",ppo_medical,
Search of the National Bone Marrow Donor Program Registry for a donor. A search will begin only when the need for a donor is established and the transplant is preapproved.,23,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
"Infusion of bone marrow, peripheral blood stem cells, and/or umbilical cord blood",23,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
T-cell depleted infusion,23,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Donor lymphocyte infusion,23,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Amounts that exceed our approved amount for covered specialty drugs or out-of-network retail penalty amounts.,23,14,2,ppo_medical,Prescription Drugs
Applied Behavior Analysis (ABA) treatment,21,14,2,"csr_rider,ppo_medical",Autism Spectrum Disorders | BCBSM PPO In-Network Providers | Copayment Requirements
Oncology Clinical Trials,21,14,"1,3",ppo_medical,Oncology Clinical Trials
Adverse Benefit Decision,19,19,3,"dental,ppo_medical,vision",
Appeals,19,19,3,"dental,ppo_medical,vision",
Approved Amount,19,19,3,"dental,ppo_medical,vision",
BCBSM,19,19,3,"dental,ppo_medical,vision",
Calendar Year,19,19,3,"dental,ppo_medical,vision",
Cancellation,19,19,3,"dental,ppo_medical,vision",
Certificate,19,19,3,"dental,ppo_medical,vision",
Claim for Damages,19,19,3,"dental,ppo_medical,vision",
Coinsurance,19,19,3,"dental,ppo_medical,vision",
Alveoloplasty,19,14,"2,3",ppo_medical,Contraceptive Services | Dental Services
Genetic testing,18,18,"2,3","dental,ppo_medical,vision",Autism Spectrum Disorders
Specialty drugs obtained from any provider other than our exclusive pharmacy network for specialty drugs.,18,14,2,ppo_medical,Prescription Drugs
More than 30 visits a year for combined outpatient cardiac or pulmonary rehabilitation services,18,14,2,ppo_medical,Cardiac Rehabilitation | Pulmonary Rehabilitation
Billing,17,17,3,"ppo_medical,vision",
Contract,17,17,3,"dental,ppo_medical,vision",
24/7 virtual visits only when performed through the Blue Cross selected vendor app,17,17,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
Administration of blood,17,14,2,ppo_medical,Surgery
Autism Spectrum Disorders,16,14,"1,3",ppo_medical,
Dental Services,16,16,"1,3","dental,ppo_medical",
Laboratory examinations,16,16,"2,3","dental,ppo_medical",Class I – Diagnostic and Preventive Services | Skilled Nursing Facility Services
Ambulatory Surgery Facility,16,14,"2,3",ppo_medical,Surgery
Copayment,15,15,3,"dental,ppo_medical,vision",
Harvesting (including peripheral blood stem cell pheresis) and storage of bone marrow and/or peripheral blood stem cells,15,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Infusion of bone marrow and/or peripheral blood stem cells,15,12,2,ppo_medical,Oncology Clinical Trials | Transplant Services
Specialty Pharmaceuticals,15,13,"2,3",ppo_medical,Prescription Drugs
Contraceptive Drugs,15,9,"2,3",ppo_medical,Preventive Care Services
Allergy Therapy,14,14,2,ppo_medical,Allergy Testing and Therapy
Fungal or bacterial skin tests (such as those given for tuberculosis or diphtheria),14,14,2,ppo_medical,Allergy Testing and Therapy
"Self-administered, over-the-counter drugs",14,14,2,ppo_medical,Allergy Testing and Therapy
"Psychological testing, evaluation, or therapy for allergies",14,14,2,ppo_medical,Allergy Testing and Therapy
"Environmental studies, evaluation, or control",14,14,2,ppo_medical,Allergy Testing and Therapy
A member to be taken to the nearest approved destination capable of providing the level of care necessary to treat the member’s condition,14,14,2,ppo_medical,Ambulance Services
