corpus_canonical_name,tree_benefit_name,match_type,score,corpus_total_mentions,corpus_matched_part
Psychological testing,Psychological testing,exact,100,92,
Individual psychotherapeutic treatment,Individual psychotherapy,llm_semantic,95,64,
Group psychotherapeutic treatment,Group psychotherapy,llm_semantic,95,64,
Physical therapy,Physical therapy,exact,100,50,
Durable medical equipment,Durable medical equipment,exact,100,45,
Recreational therapy,0941 - Recreational therapy,exact,100,42,
Infusion of colony stimulating growth factors,Infusion of colony stimulating growth fators for bone marrow transplant,llm_semantic,80,39,
High-dose chemotherapy and/or total body irradiation,High dose chemotherapy,fuzzy_compound,100.0,38,High-dose chemotherapy
Occupational therapy,Occupational therapy,exact,100,36,
Speech language therapy,Speech therapy,llm_semantic,95,36,
Prosthetics and orthotics,Prosthetic and orthotic,exact,100,31,
Prosthetics and orthotics,Prosthetics and orthotics,exact,100,31,
Contraceptive Services,Contraceptive professional services,llm_semantic,80,31,
Diagnostic X-rays,Diagnostic X-ray,exact,100,28,
Custodial care,Custodial care,exact,100,27,
Diagnostic Services,Diagnostic services,exact,100,27,
Diagnostic Services,Diagnostic Services,exact,100,27,
Chemotherapy,Chemotherapy,exact,100,27,
Approved clinical trial,Clinical trial,llm_semantic,95,26,
Cardiac Rehabilitation,Cardiac rehabilitation,exact,100,25,
Nuclear cardiac studies,Cardiovascular System (Nuclear Med),llm_semantic,95,24,
Ambulance Services,Ambulance,fuzzy_suffix_stripped,100.0,23,Ambulance
Oncology Clinical Trials,Specified Oncology Clinical Trials,llm_semantic,95,21,
Immunizations,Immunizations,exact,100,17,
Administration of blood,0391 - Blood Administration,fuzzy,93.02325581395348,17,
Colonoscopy,Colonoscopy,exact,100,16,
Dental Services,Dental,fuzzy_suffix_stripped,100.0,16,Dental
Laboratory examinations,Diagnostic and clinical laboratory,llm_semantic,80,16,
Behavioral health services,Behavioral health services,exact,100,15,
Specialty Pharmaceuticals,Specialty Drugs,llm_semantic,95,15,
Allergy Testing,Allergy Testing,exact,100,14,
Inpatient Hospital,Inpatient hospital,exact,100,14,
Dialysis Services,Dialysis services,exact,100,14,
Ultrafiltration,0881 - Ultrafiltration,exact,100,14,
Electricity or water used to operate the dialyzer,Electricity or water used to operate the dialyzer,exact,100,14,
"Installation of electric power, a water supply or a sanitary waste disposal system","Installation of electric power, a water supply, or a sanitary waste disposal system",exact,100,14,
Private duty nursing,Private duty nursing,exact,100,14,
Infertility Treatment,Infertility treatment,exact,100,14,
Artificial insemination,Artificial insemination,exact,100,14,
In vitro fertilization,In Vitro Fertilization,exact,100,14,
Maternity Care,Maternity care,exact,100,14,
Obstetrics,Obstetric,exact,100,14,
Newborn Care,Newborn care,exact,100,14,
"Office, Outpatient and Home Medical Care Visits","Office, outpatient and home medical care visits",exact,100,14,
Optometrist Services,Optometrist services,exact,100,14,
Preventive Care Services,Preventive care services,exact,100,14,
Professional Services,Professional services,exact,100,14,
Hearing aids,Hearing aids,exact,100,14,
Pulmonary Rehabilitation,0948 - Pulmonary Rehabilitation,exact,100,14,
Pulmonary Rehabilitation,Pulmonary rehabilitation,exact,100,14,
Radiology Services,Radiology services,exact,100,14,
Surgery,Surgery,exact,100,14,
Recovery room,Recovery room,exact,100,14,
Cornea,Cornea,exact,100,14,
Value Based Programs,Value Based Program,exact,100,14,
Behavioral Health Treatment,Behavioral health treatments,exact,100,14,
Prosthetic and Orthotic Devices,0274 - Prosthetic/Orthotic Devices,fuzzy,92.85714285714286,14,
Spare prosthesis devices,Spare prosthetic devices,fuzzy,91.30434782608697,14,
Routine maintenance of a prosthetic device,Routine maintenance of prosthetic devices,fuzzy,97.5609756097561,14,
