benefit_name,topic_ids,tree_paths
0001 - Total Charge,66920,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/0001 - TOTAL CHARGE
0020 - RESERVED (020),66923,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0020 - RESERVED (020)
0021 - RESERVED (021),66924,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0021 - RESERVED (021)
0022 - Skilled Nursing Facility Prospective Payment System SNF PPS (RUG),66925,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0022 - SKILLED NURSING FACILITY PROSPECTIVE PAYMENT SYSTEM SNF PPS (RUG)
0023 - Home Health Prospective Payment System SNF PPS (RUG),66926,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0023 - HOME HEALTH PROSPECTIVE PAYMENT SYSTEM SNF PPS (RUG)
0024 - RESERVED (024),66927,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0024 - RESERVED (024)
0025 - RESERVED (025),66928,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0025 - RESERVED (025)
0026 - RESERVED (026),66929,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0026 - RESERVED (026)
0027 - RESERVED (027),66930,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0027 - RESERVED (027)
0028 - RESERVED (028),66931,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0028 - RESERVED (028)
0029 - RESERVED (029),66932,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/PROSPECTIVE PAYMENT SYSTEM (HIPPS)/0029 - RESERVED (029)
0100 - All Inclusive Room and Board Plus Ancillary,60562,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/ALL INCLUSIVE RATE FOR ROOM BOARD AND ANCILLARY FACILITY CHARGES/0100 - ALL INCLUSIVE ROOM AND BOARD PLUS ANCILLARY"
0101 - All Inclusive Room and Board,60563,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/ALL INCLUSIVE RATE FOR ROOM BOARD AND ANCILLARY FACILITY CHARGES/0101 - ALL INCLUSIVE ROOM AND BOARD"
0110 - General classification for room and board for private room (medical or general),24125,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0110 - GENERAL CLASSIFICATION"
"0111 - Room and board for medical, surgical or gynecological private room",24126,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0111 - MEDICAL, SURGICAL OR GYNECOLOGICAL"
0112 - Room and board for obstetrics private room,24127,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0112 - OBSTETRICS"
0113 - Room and board for pediatric private room,24128,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0113 - PEDIATRIC"
0114 - Room and board for psychiatric private room,24129,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0114 - PSYCHIATRIC"
0115 - Room and board for hospice private room,24130,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0115 - HOSPICE"
0116 - Room and board for detoxification private room,24131,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0116 - DETOXIFICATION"
0117 - Room and board for oncology private room,24132,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0117 - ONCOLOGY"
0118 - Room and board for rehabilitation private room,24133,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0118 - REHABILITATION"
0119 - Room and board for other private room,24134,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PRIVATE (MEDICAL OR GENERAL)/0119 - OTHER"
0120 - General classification for room and board for semi-private two bed room (medical or general),24135,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0120 - GENERAL CLASSIFICATION"
"0121 - Room and board for semi-private medical, surgical, gynecological two bed room",24136,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0121 - MEDICAL/SURGICAL/GYN"
0122 - Room and board for obstetrics semi-private two bed room,24137,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0122 - OBSTETRICS"
0123 - Room and board for pediatric semi-private two bed room,24138,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0123 - PEDIATRIC"
0124 - Room and board for psychiatric semi-private two bed room,24139,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0124- PSYCHIATRIC"
0125 - Room and board for hospice semi-private two bed room,24140,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0125 - HOSPICE"
0126 - Room and board for detoxification semi-private two bed room,24141,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0126 - DETOXIFICATION"
0127 - Room and board for oncology semi-private two bed room,24142,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0127 - ONCOLOGY"
0128 - Room and board for rehabilitation semi-private two bed room,24143,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0128 - REHABILIATION"
0129 - Room and board for other semi-private two bed room,24144,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE TWO BED (MEDICAL OR GENERAL)/0129 - OTHER"
0130 - General classification for room and board for semi-private three and four bed room,24145,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0130 - GENERAL CLASSIFICATION"
"0131 - Room and board for medical, surgical or gynecological semi-private three and four bed room",24146,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0131 - MEDICAL, SURGICAL OR GYNECOLOGICAL"
0132 - Room and board for obstetrics semi-private three and four bed room,24147,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0132 - OBSTETRICS"
0133 - Room and board for pediatric semi-private three and four bed room,24148,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0133 - PEDIATRIC"
0134 - Room and board for psychiatric semi-private three and four bed room,24149,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0134 - PSYCHIATRIC"
0135 - Room and board for hospice semi-private three and four bed room,24150,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/SEMI-PRIVATE THREE AND FOUR BED/0135 - HOSPICE"
